UA,SU,DOMINIO,v,bio,carbono
PR_397,1,Estepe Gramíneo Lenhosa,12.041638569816854,8008.531267999999,3924.1803213200014
PR_397,2,Estepe Gramíneo Lenhosa,,,
PR_397,3,Estepe Gramíneo Lenhosa,8.087175877532633,5002.504876000001,2451.2273892400003
PR_397,4,Estepe Gramíneo Lenhosa,39.56389111206848,19447.26185600001,9529.158309440001
PR_398,1,Estepe Gramíneo Lenhosa,,,
PR_398,2,Estepe Gramíneo Lenhosa,29.31836343388506,17489.750039199997,8569.977519208
PR_398,3,Estepe Gramíneo Lenhosa,40.91916755031854,22039.378080000006,10799.295259199998
PR_398,4,Estepe Gramíneo Lenhosa,32.87358514614068,23381.380576,11456.87648224
PR_400,1,Floresta Ombrófila Mista,4.844010984894073,3484.3494100000003,1707.3312109
PR_400,2,Floresta Ombrófila Mista,29.44729350255024,12607.170409999995,6177.5135009
PR_400,3,Floresta Ombrófila Mista,77.74373110001486,32043.49853,15701.314279699995
PR_400,4,Floresta Ombrófila Mista,75.45655548808682,30100.629539999998,14749.3084746
PR_401,1,Floresta Ombrófila Mista,1.0605150909624748,664.1434980000001,325.43031402
PR_401,2,Floresta Ombrófila Mista,10.785590387394429,5569.533536,2729.0714326400002
PR_401,3,Floresta Ombrófila Mista,6.216101888333266,3210.625632,1573.2065596799998
PR_401,4,Floresta Ombrófila Mista,11.330773083207468,5507.540036,2698.69461764
PR_402,1,Floresta Ombrófila Mista,,,
PR_402,2,Floresta Ombrófila Mista,,,
PR_402,3,Floresta Ombrófila Mista,5.295032293663621,2485.3623639999996,1217.82755836
PR_402,4,Floresta Ombrófila Mista,,,
PR_403,1,Floresta Ombrófila Mista,,,
PR_403,2,Floresta Ombrófila Mista,,,
PR_403,3,Floresta Ombrófila Mista,,,
PR_403,4,Floresta Ombrófila Mista,,,
PR_404,1,Floresta Ombrófila Mista,50.44764238792083,23359.33199200001,11446.072676080006
PR_404,2,Floresta Ombrófila Mista,71.25088573684498,35882.29499599999,17582.32454804
PR_404,3,Floresta Ombrófila Mista,45.355864781642126,21128.612884,10353.020313160003
PR_404,4,Floresta Ombrófila Mista,57.76386924217733,27165.843716,13311.263420840003
PR_405,1,Floresta Ombrófila Mista,41.73861179724937,20654.640766900015,10120.773975780996
PR_405,2,Floresta Ombrófila Mista,,,
PR_405,3,Floresta Ombrófila Mista,,,
PR_405,4,Floresta Ombrófila Mista,13.882526548584224,7117.1595499999985,3487.4081795
PR_426,1,Floresta Estacional Semidecidual,22.874362043327018,8121.997272526908,3979.7786635381813
PR_426,2,Floresta Estacional Semidecidual,5.590446922490762,1175.2135529070426,575.8546409244508
PR_426,3,Floresta Estacional Semidecidual,14.837981422907193,3908.9361680557345,1915.3787223473103
PR_426,4,Floresta Estacional Semidecidual,15.999326205620797,3936.9096880751013,1929.085747156799
PR_427,1,Floresta Ombrófila Mista,9.209702900068919,3832.699352,1878.0226824800002
PR_427,2,Floresta Ombrófila Mista,14.564004443366741,7063.124897999999,3460.9312000200002
PR_427,3,Floresta Ombrófila Mista,17.499552144890405,8314.140651999998,4073.9289194800003
PR_427,4,Floresta Ombrófila Mista,5.735933184771472,3073.5252000000005,1506.027348
PR_428,1,Floresta Estacional Semidecidual,5.794894560108171,1893.944775518375,928.0329400040036
PR_428,2,Floresta Estacional Semidecidual,,,
PR_428,3,Floresta Estacional Semidecidual,9.065239550277331,2244.0329929320683,1099.5761665367133
PR_428,4,Floresta Estacional Semidecidual,0.7497291099292631,189.38853811876646,92.80038367819557
PR_429,1,Floresta Ombrófila Mista,7.099188521544441,3668.354562,1797.4937353800003
PR_429,2,Floresta Ombrófila Mista,0.10338867952724426,51.83278,25.398062200000002
PR_429,3,Floresta Ombrófila Mista,5.392070167393466,2446.269458,1198.67203442
PR_429,4,Floresta Ombrófila Mista,0.34449714331905146,199.04207999999994,97.53061919999998
PR_430,1,Floresta Ombrófila Mista,,,
PR_430,2,Floresta Ombrófila Mista,,,
PR_430,3,Floresta Ombrófila Mista,,,
PR_430,4,Floresta Ombrófila Mista,,,
PR_431,1,Estepe Gramíneo Lenhosa,32.73659504087777,17406.676335999997,8529.271404639996
PR_431,2,Estepe Gramíneo Lenhosa,38.32047518130219,19242.215900000003,9428.685790999998
PR_431,3,Estepe Gramíneo Lenhosa,27.861836804037964,13062.102047999997,6400.430003520002
PR_431,4,Estepe Gramíneo Lenhosa,28.306543853341775,18069.076639999992,8853.8475536
PR_432,1,Estepe Gramíneo Lenhosa,,,
PR_432,2,Estepe Gramíneo Lenhosa,,,
PR_432,3,Estepe Gramíneo Lenhosa,,,
PR_432,4,Estepe Gramíneo Lenhosa,,,
PR_433,1,Estepe Gramíneo Lenhosa,,,
PR_433,2,Estepe Gramíneo Lenhosa,30.67309353248224,12318.397952000001,6036.01499648
PR_433,3,Estepe Gramíneo Lenhosa,,,
PR_433,4,Estepe Gramíneo Lenhosa,,,
PR_434,1,Estepe Gramíneo Lenhosa,2.043935858507839,1774.1446000000003,869.3308540000002
PR_434,2,Estepe Gramíneo Lenhosa,,,
PR_434,3,Estepe Gramíneo Lenhosa,,,
PR_434,4,Estepe Gramíneo Lenhosa,,,
PR_435,1,Floresta Ombrófila Mista,131.79408188342427,79723.93471999999,39064.7280128
PR_435,2,Floresta Ombrófila Mista,26.37395098172919,13860.30233,6791.5481417
PR_435,3,Floresta Ombrófila Mista,18.4624249570945,9409.478910000002,4610.6446658999985
PR_435,4,Floresta Ombrófila Mista,42.7121445831678,22874.930800000002,11208.716091999995
PR_436,1,Floresta Ombrófila Mista,28.36167987485408,12640.044289999994,6193.6217021
PR_436,2,Floresta Ombrófila Mista,64.56002341483138,48231.438019999994,23633.404629799996
PR_436,3,Floresta Ombrófila Mista,,,
PR_436,4,Floresta Ombrófila Mista,0.9525317020901173,472.193642,231.37488457999999
PR_437,1,Floresta Ombrófila Mista,0.3095708858185892,218.47055999999995,107.05057439999999
PR_437,2,Floresta Ombrófila Mista,7.122696008494662,4159.1161919999995,2037.96693408
PR_437,3,Floresta Ombrófila Mista,14.514489689391812,7636.958408000001,3742.1096199199997
PR_437,4,Floresta Ombrófila Mista,,,
PR_438,1,Floresta Ombrófila Mista,18.625343547288665,7841.052018000001,3842.1154888200003
PR_438,2,Floresta Ombrófila Mista,13.369913162270537,5322.290004,2607.922101960001
PR_438,3,Floresta Ombrófila Mista,14.727766989424872,7125.75408,3491.619499199999
PR_438,4,Floresta Ombrófila Mista,14.15265898391764,5985.207708000002,2932.751776919999
PR_439,1,Floresta Ombrófila Mista,,,
PR_439,2,Floresta Ombrófila Mista,,,
PR_439,3,Floresta Ombrófila Mista,7.798383290058635,4586.769687999999,2247.51714712
PR_439,4,Floresta Ombrófila Mista,0.8537951473328784,539.943264,264.57219936
PR_440,1,Floresta Ombrófila Mista,34.42399877027729,16007.70653,7843.776199699997
PR_440,2,Floresta Ombrófila Mista,11.221923525626684,5866.346826,2874.5099447400007
PR_440,3,Floresta Ombrófila Mista,19.8413982361075,10317.864782,5055.753743179998
PR_440,4,Floresta Ombrófila Mista,15.973213532601637,7998.391420000003,3919.2117958
PR_461,1,Floresta Estacional Semidecidual,2.5449912500741103,664.2995259798839,325.5067677301432
PR_461,2,Floresta Estacional Semidecidual,,,
PR_461,3,Floresta Estacional Semidecidual,1.2790841954826142,473.9753577103588,232.24792527807583
PR_461,4,Floresta Estacional Semidecidual,,,
